group,mean_imp,total_imp,count,pct_of_total
Count (C),5920.8847424302785,82892.3863940239,14,20.534299871693225
Other,5574.082631111145,33444.49578666687,6,8.28495034847386
Card,4979.894212961197,29879.36527776718,6,7.401787706690557
Address,3329.820127248764,6659.640254497528,2,1.6497419844256127
TimeDelta (D),3211.7264703582314,54599.349996089935,17,13.525481342639603
Identity (id),705.0876967781469,26793.33247756958,38,6.637308293202381
Match (M),690.2048072285122,6211.84326505661,9,1.538812645039575
Vesta (V),481.4078812627314,163197.27174806595,339,40.42761780783518
